nb,rmse,rate
1,25.45,0.0994
2,22.87,0.0893
3,20.63,0.0806
4,18.69,0.0730
5,17.39,0.0679
6,16.12,0.0630
7,15.18,0.0593
8,14.20,0.0555
9,13.29,0.0519
10,12.60,0.0492
11,11.91,0.0465
12,11.32,0.0442
13,10.83,0.0423
14,10.36,0.0405
15,9.95,0.0389
16,9.59,0.0375
17,9.28,0.0363
18,9.01,0.0352
19,8.72,0.0341
20,8.46,0.0331
21,8.21,0.0321
22,7.96,0.0311
23,7.72,0.0302
24,7.48,0.0292
25,7.25,0.0283
26,7.04,0.0275
27,6.82,0.0267
28,6.62,0.0259
29,6.44,0.0252
30,6.26,0.0244
31,6.08,0.0238
32,5.90,0.0231
33,5.73,0.0224
34,5.56,0.0217
35,5.40,0.0211
36,5.24,0.0205
37,5.08,0.0199
38,4.93,0.0193
39,4.79,0.0187
40,4.65,0.0181
41,4.51,0.0176
42,4.38,0.0171
43,4.25,0.0166
44,4.13,0.0161
45,4.01,0.0156
46,3.89,0.0152
47,3.77,0.0147
48,3.66,0.0143
49,3.55,0.0139
50,3.44,0.0134
51,3.33,0.0130
52,3.22,0.0126
53,3.12,0.0122
54,3.01,0.0118
55,2.92,0.0114
56,2.82,0.0110
57,2.73,0.0107
58,2.64,0.0103
59,2.55,0.0100
60,2.48,0.0097
61,2.40,0.0094
62,2.33,0.0091
63,2.26,0.0088
64,2.19,0.0086
